Date,DE40Cash_profit,DE40Cash_lot,Date,Price,Open,High,Low,Vol.,Change %,DE40Cash_China_profit,DE40Cash_China_lot,DE40Cash_World_profit,DE40Cash_World_lot
02/01/2024,3085.27,60.09,1/2/2024,16769.36,16828.75,16963.47,16648.80,59.89M,0.11%,-1416.60,13.19,59.99,0.51
03/01/2024,-4178.15,72.05,1/3/2024,16538.39,16771.35,16784.07,16479.92,70.85M,-1.38%,-2119.69,11.38,132.69,1.19
04/01/2024,4498.71,88.05,1/4/2024,16617.29,16563.69,16626.84,16501.40,65.87M,0.48%,-31.36,8.49,287.53,0.40
05/01/2024,4124.26,103.68,1/5/2024,16594.21,16504.88,16645.89,16448.71,66.76M,-0.14%,278.48,5.41,-82.04,0.86
08/01/2024,-8140.55,76.16,1/8/2024,16716.47,16618.51,16716.47,16517.49,55.07M,0.74%,650.75,10.33,-394.87,0.68
09/01/2024,-25005.53,92.02,1/9/2024,16688.36,16743.27,16743.27,16611.53,59.80M,-0.17%,-1288.79,9.35,-5.56,0.67
10/01/2024,-3082.49,76.27,1/10/2024,16689.81,16703.12,16753.69,16654.99,61.30M,0.01%,23126.12,80.78,-59.40,5.55
11/01/2024,4128.18,104.48,1/11/2024,16547.03,16775.92,16839.49,16541.38,72.21M,-0.86%,-266.01,8.52,243.67,1.12
12/01/2024,-8331.80,60.65,1/12/2024,16704.56,16649.45,16752.24,16608.00,62.16M,0.95%,-227.09,7.90,60.75,0.87
15/01/2024,-2758.65,72.50,1/15/2024,16622.22,16723.24,16736.16,16609.22,47.80M,-0.49%,-1288.67,14.99,122.69,0.79
16/01/2024,232.95,83.82,1/16/2024,16571.68,16497.54,16581.93,16476.09,73.10M,-0.30%,-1147.79,16.58,144.74,0.86
17/01/2024,7636.61,123.54,1/17/2024,16431.69,16400.42,16435.68,16345.02,71.44M,-0.84%,-1866.60,11.16,145.83,0.83
18/01/2024,-3245.88,67.83,1/18/2024,16567.35,16440.66,16579.12,16421.20,72.32M,0.83%,19.17,9.82,71.70,0.43
19/01/2024,-1788.29,58.83,1/19/2024,16555.13,16626.53,16647.85,16513.46,66.15M,-0.07%,277.44,6.26,-1.69,0.33
22/01/2024,-14272.85,70.60,1/22/2024,16683.36,16684.10,16705.49,16607.72,67.44M,0.77%,1923.21,34.68,71.28,0.33
23/01/2024,1114.31,59.77,1/23/2024,16627.09,16753.09,16753.09,16626.59,64.37M,-0.34%,-213.20,8.02,22.46,0.53
24/01/2024,6615.71,66.23,1/24/2024,16889.92,16793.27,16921.41,16760.92,74.57M,1.58%,-390.30,8.40,-328.42,0.88
25/01/2024,4346.56,59.92,1/25/2024,16906.92,16849.76,16916.60,16785.69,62.02M,0.10%,546.40,5.45,-503.97,0.71
26/01/2024,3544.49,63.57,1/26/2024,16961.39,16879.01,16967.72,16849.31,84.66M,0.32%,206.71,3.45,-2914.63,0.96
29/01/2024,-10794.10,46.44,1/29/2024,16941.71,16925.39,16941.71,16860.05,65.96M,-0.12%,296.89,5.06,-731.49,0.70
30/01/2024,985.65,62.55,1/30/2024,16972.34,16991.37,16999.58,16946.56,61.11M,0.18%,205.38,6.82,175.28,0.26
31/01/2024,3693.71,90.80,1/31/2024,16903.76,16972.47,16991.84,16884.87,84.39M,-0.40%,108.03,1.36,-252.32,0.56
01/02/2024,-7893.61,93.53,2/1/2024,16859.04,16834.13,16915.92,16821.60,89.45M,-0.26%,484.71,5.77,-604.87,0.55
