Date,EURUSD_profit,EURUSD_lot,Price,Open,High,Low,Change %,EURUSD_China_lot,EURUSD_China_profit,EURUSD_World_lot,EURUSD_World_profit
2/1/2024,1234.11,24.04,1.0947,1.1045,1.1046,1.0938,-0.88%,24.26,298.63,23.03,-1797.66
3/1/2024,-1671.26,28.82,1.0921,1.0943,1.0966,1.0892,-0.24%,20.51,-5134.98,59.63,3720.9
4/1/2024,1799.48,35.22,1.0943,1.0922,1.0973,1.0915,0.20%,37.92,200.94,28.6,809.16
5/1/2024,1649.7,41.47,1.0941,1.0947,1.1,1.0877,-0.02%,136.64,3737.61,86.94,3806.54
8/1/2024,-3256.22,30.46,1.0949,1.0946,1.098,1.0923,0.07%,31.71,-689.65,16.66,-694.34
9/1/2024,-10002.21,36.81,1.0931,1.0952,1.0967,1.091,-0.16%,53.61,-1207.64,31.33,742.15
10/1/2024,-1232.99,30.51,1.0971,1.093,1.0974,1.0923,0.37%,24.6,-963.31,25.68,457.24
11/1/2024,1651.27,41.79,1.097,1.0973,1.0991,1.093,-0.01%,41.78,1312.71,34.73,-2943.22
12/1/2024,-3332.72,24.26,1.0949,1.0974,1.0987,1.0935,-0.19%,23.81,85.69,28.58,1553.05
15/01/2024,-1103.46,29,1.0948,1.0955,1.0968,1.0933,-0.01%,41.46,551.21,9.99,172.43
16/01/2024,93.18,33.53,1.0874,1.095,1.0952,1.0862,-0.68%,16.41,211.71,52.98,3003.28
17/01/2024,3054.64,49.42,1.0881,1.0874,1.0886,1.0844,0.06%,19.66,-203.48,68.03,1868.77
18/01/2024,-1298.35,27.13,1.0874,1.0882,1.0907,1.0846,-0.06%,51.57,562.73,27.22,-1278.83
19/01/2024,-715.31,23.53,1.0897,1.0875,1.0899,1.0865,0.21%,11.07,-186.21,22.73,-1674.53
22/01/2024,-5709.14,28.24,1.0881,1.0892,1.0911,1.088,-0.15%,30.15,197.94,34.75,796.95
23/01/2024,445.72,23.91,1.0851,1.0883,1.0917,1.0822,-0.28%,65.71,872.81,56.41,3883.04
24/01/2024,2646.29,26.49,1.0883,1.0854,1.0933,1.0845,0.29%,24.03,-582.45,69.6,460.04
25/01/2024,1738.62,23.97,1.0846,1.0885,1.0903,1.0822,-0.34%,35.79,-316.94,40.98,1840.28
26/01/2024,1417.8,25.43,1.0852,1.0843,1.0886,1.0812,0.06%,63.22,-1134.52,49.21,9.46
