Date,USDJPY_profit,USDJPY_lot,Price,Open,High,Low,Change %,USDJPY_World_lot,USDJPY_World_profit,USDJPY_China_lot,USDJPY_China_profit
2/1/2024,1234.11,36.05,141.98,140.88,142.23,140.81,0.79%,3.01,-280.45,21.13,573.23
3/1/2024,-1671.26,43.23,143.29,142,143.75,141.86,0.92%,6.8,100.1,46.12,"-2,508.49"
4/1/2024,1799.48,52.83,144.62,143.3,144.87,142.85,0.93%,14.19,297.21,8.59,73.1
5/1/2024,1649.7,62.21,144.65,144.63,145.99,143.81,0.02%,26.25,3753.67,77.11,"3,269.05"
8/1/2024,-3256.22,45.7,144.22,144.6,144.93,143.66,-0.30%,1.15,2.97,83.76,625.22
9/1/2024,-10002.21,55.21,144.47,144.27,144.64,143.42,0.17%,44.27,-49.96,191.33,"-5,973.64"
10/1/2024,-1232.99,45.76,145.73,144.48,145.86,144.32,0.87%,37.31,-1425.27,28.16,"1,008.25"
11/1/2024,1651.27,62.69,145.28,145.75,146.43,145.26,-0.31%,10.31,-1724.93,64.39,"-1,412.15"
12/1/2024,-3332.72,36.39,144.9,145.29,145.57,144.36,-0.26%,3.96,-46.43,59.58,"2,361.75"
15/01/2024,-1103.46,43.5,145.73,144.92,145.96,144.87,0.57%,8.56,152.11,66.6,"-4,917.52"
16/01/2024,93.18,50.29,147.18,145.74,147.33,145.58,0.99%,47.9,1379.82,69.95,"-2,969.63"
17/01/2024,3054.64,74.13,148.15,147.2,148.54,147.07,0.66%,24.16,234.83,28.19,"-2,954.03"
18/01/2024,-1298.35,40.7,148.15,148.15,148.32,147.65,0.00%,64.18,-1096.4,87.54,"-1,916.45"
19/01/2024,-715.31,35.3,148.14,148.13,148.82,147.84,-0.01%,3.45,-41.42,68.51,"-1,608.02"
22/01/2024,-5709.14,42.36,148.09,148.28,148.32,147.62,-0.03%,1.94,272.22,63.17,510.83
23/01/2024,445.72,35.86,148.36,148.1,148.73,146.99,0.18%,48.11,-824.48,88.6,-210.55
24/01/2024,2646.29,39.74,147.5,148.36,148.4,146.65,-0.58%,9.56,-966.58,30.59,"2,128.51"
25/01/2024,1738.62,35.95,147.65,147.51,147.94,147.08,0.10%,4.94,-541.99,30.79,"-1,190.87"
26/01/2024,1417.8,38.14,148.16,147.63,148.23,147.42,0.35%,2.57,50.02,13.79,-438.19
29/01/2024,-4317.64,27.87,147.49,148.12,148.34,147.25,-0.45%,3.29,98.86,10.34,-145.18
30/01/2024,394.26,37.53,147.6,147.51,147.95,147.1,0.07%,7.15,671.25,12.32,-412.83
31/01/2024,1477.49,54.48,146.88,147.61,147.91,146.01,-0.49%,6.66,44.49,46.44,161.98
1/2/2024,-3157.44,56.12,146.42,146.89,147.13,145.89,-0.31%,35.8,-5386.52,37.97,-485.8
2/2/2024,-1229.93,43.35,148.37,146.44,148.6,146.24,1.33%,22.73,792.66,103.94,230.56
5/2/2024,1947.07,41.53,148.67,148.36,148.92,148.26,0.20%,6.2,-235.03,42.01,-603.69
6/2/2024,1974.2,47.4,147.94,148.67,148.84,147.82,-0.49%,1.87,-41.57,47.41,161.71
7/2/2024,-1906.04,44.04,148.18,147.95,148.3,147.64,0.16%,6.02,0.81,37.12,-507.88
8/2/2024,-916.98,49.91,149.31,148.19,149.51,147.93,0.76%,63.51,-903.04,12.36,"-1,215.62"
9/2/2024,-242.97,22.61,149.3,149.33,149.6,149.01,-0.01%,39.64,-1759.14,24.05,-522.23
12/2/2024,635.92,33.68,149.34,149.25,149.49,148.93,0.03%,1.75,-9.36,18.79,95.93
13/02/2024,-1242.52,33.35,150.79,149.35,150.9,149.26,0.97%,12.11,-845.01,43.76,-506.98
14/02/2024,-1952.15,32.47,150.55,150.79,150.82,150.35,-0.16%,2.37,91.36,31.32,"-4,492.88"
15/02/2024,-669.31,21.86,149.91,150.57,150.6,149.54,-0.43%,3.75,-120.79,11.07,-83.56
16/02/2024,2164.22,50.51,150.21,149.93,150.65,149.82,0.20%,2.73,31.13,25.35,-58.44
19/02/2024,-8275.37,38.01,150.11,150.1,150.24,149.87,-0.07%,1.39,-15.07,10.77,81.34
20/02/2024,-1310.56,61.02,149.99,150.13,150.45,149.68,-0.08%,6.81,-87.85,65.67,-935.36
21/02/2024,-1375.94,55.22,150.28,150.01,150.41,149.85,0.19%,29.76,-871,21.13,-847.75
22/02/2024,-1132.29,84.83,150.51,150.31,150.7,150.01,0.15%,6.38,-403.39,203.73,"-6,181.92"
23/02/2024,-4148.38,75.46,150.5,150.54,150.79,150.3,-0.01%,1.25,8.61,22.89,-231.12
26/02/2024,2903.92,62.89,150.69,150.48,150.85,150.29,0.13%,1.99,-82.27,19.48,-557.95
27/02/2024,2605.16,65.54,150.5,150.7,150.72,150.07,-0.13%,9.97,405,17.27,752.48
28/02/2024,4744.43,58.41,150.67,150.51,150.85,150.37,0.11%,9.68,-729.84,19.39,-723.38
29/02/2024,-6323.33,68.88,149.98,150.7,150.7,149.2,-0.46%,5.74,-21.04,50.3,"1,757.62"
1/3/2024,-6599.7,58.05,150.11,149.98,150.73,149.95,0.09%,6.07,-639.63,100.73,"-2,864.72"
4/3/2024,395.31,66.19,150.51,150.11,150.64,149.83,0.27%,1.75,-1.69,43.6,"-1,447.29"
5/3/2024,3669.65,61.4,150.04,150.52,150.64,149.7,-0.31%,5.8,-1316.26,60.55,522.17
6/3/2024,-5501.71,86.09,149.37,150.04,150.1,149.09,-0.45%,2.33,-43.11,78.48,346.56
7/3/2024,-1015.07,75.75,148.03,149.36,149.4,147.58,-0.90%,1.78,-307.78,57.23,576.23
8/3/2024,-2075.96,56.91,147.07,148.04,148.12,146.48,-0.65%,8.78,-8008.14,73.82,408.39
11/3/2024,1606.66,27.96,146.94,147.07,147.18,146.48,-0.09%,1.99,-9.39,20.89,-132.18
12/3/2024,453.86,53.83,147.68,146.95,148.15,146.62,0.50%,6.16,145.29,94.09,767
13/03/2024,972.54,35.14,147.74,147.7,148.06,147.23,0.04%,4.21,66.05,39.55,457.04
14/03/2024,1768.35,74.27,148.32,147.76,148.37,147.43,0.39%,5.74,-89.19,54.29,896.98
15/03/2024,2157.62,41.33,149.02,148.36,149.2,148.03,0.47%,6.52,2646.29,111.32,"1,893.87"
18/03/2024,-535.7,37.12,149.14,149.01,149.33,148.9,0.08%,3.05,9.37,91.64,136.6
19/03/2024,-629.55,44.46,150.85,149.16,150.97,149.03,1.15%,7.79,154.2,55.07,-401.23
20/03/2024,-1052.08,55.69,151.25,150.89,151.88,150.73,0.27%,7.83,-2727.05,82.63,"-5,472.67"
21/03/2024,-1188.98,72.8,151.61,151.26,151.81,150.26,0.24%,2.09,94.87,192.18,"1,317.25"
22/03/2024,1384.67,47.63,151.42,151.64,151.87,151,-0.13%,1.01,-41.32,159.11,"1,568.49"
25/03/2024,1902.02,42.09,151.41,151.44,151.55,151.04,-0.01%,1.64,87,14.97,-208.97
26/03/2024,-1064.81,65.21,151.55,151.42,151.62,151.2,0.09%,1.19,-3.99,146.76,-106.62
27/03/2024,3193.66,73.24,151.32,151.57,151.98,151.03,-0.15%,5.87,-1283.34,106.71,114.22
28/03/2024,-737.09,83.17,151.37,151.32,151.56,151.15,0.03%,1.2,-64.78,39.3,-854.18
29/03/2024,5305.45,277.73,151.31,151.38,151.51,151.17,-0.04%,2.1,-63.17,274.16,"1,024.79"
1/4/2024,-2211.07,42.86,151.63,151.32,151.78,151.22,0.21%,2.13,-116.7,55.88,"-1,064.54"
2/4/2024,3323.64,96.29,151.55,151.65,151.82,151.46,-0.05%,2.17,7.24,359.72,"4,918.03"
3/4/2024,-1457.22,105.09,151.68,151.56,151.96,151.44,0.09%,1.69,-13.12,83.01,294.36
4/4/2024,969.18,69.15,151.33,151.7,151.79,151.12,-0.23%,2.52,3.32,52.35,"1,453.27"
5/4/2024,-3663.07,62.28,151.61,151.35,151.76,150.81,0.19%,1.83,-17.28,19.77,-592.22
8/4/2024,170.73,67.4,151.79,151.57,151.96,151.56,0.12%,3.7,-880.54,55.06,"-1,290.48"
9/4/2024,-4312.33,75.22,151.77,151.81,151.95,151.57,-0.01%,1.61,34.39,71.46,-29.29
10/4/2024,4995.93,85.31,153.17,151.75,153.25,151.68,0.92%,12.1,-1659.18,132.42,"-2,573.88"
11/4/2024,-2522.51,71.53,153.27,153.16,153.33,152.76,0.07%,6.21,-1256.36,176.56,"2,852.27"
12/4/2024,-4926.33,79.07,153.28,153.27,153.4,152.59,0.01%,14.3,-1483.03,16.32,-807.19
15/04/2024,5242.62,69.77,154.27,153.09,154.46,152.99,0.65%,0.72,62.21,47.25,"-2,008.74"
16/04/2024,-8386.8,72.29,154.71,154.27,154.8,153.9,0.29%,1.1,-21.45,60.53,"1,207.86"
17/04/2024,4678.87,133.33,154.38,154.72,154.76,154.16,-0.21%,9.94,299.18,54.02,-320.6
18/04/2024,-8056.19,76.95,154.63,154.39,154.72,153.95,0.16%,2.07,32.54,89.14,858.83
19/04/2024,-3176.17,66.28,154.63,154.65,154.68,153.58,0.00%,5.86,73.5,39.09,-352.91
22/04/2024,-5666.05,80.94,154.84,154.64,154.89,154.46,0.14%,0.82,-26.27,59.7,"1,153.21"
23/04/2024,4032.88,104.53,154.82,154.85,154.88,154.56,-0.01%,11.94,114.12,116.35,"1,303.94"
24/04/2024,-638.37,76.76,155.34,154.83,155.39,154.73,0.34%,7.66,-466.6,231.2,"-4,104.03"
25/04/2024,650.64,78.61,155.65,155.32,155.76,155.2,0.20%,1.06,-452.84,89.7,"-2,590.92"
26/04/2024,-2139.98,70.02,158.33,155.62,158.45,154.98,1.72%,3.44,-2367.87,170.84,"-8,000.61"
29/04/2024,-1400.34,57.98,156.33,157.82,160.05,154.52,-1.26%,33.37,16081.73,280.48,"-33,915.70"
30/04/2024,-4969.86,53.33,157.8,156.35,157.86,156.07,0.94%,3.27,-517.59,137.19,"-1,504.68"
1/5/2024,1531.26,77.6,154.47,157.81,158.04,153.18,-2.11%,2.72,21.63,96.62,"3,356.71"
2/5/2024,177.16,88.78,153.63,154.93,156.29,153.06,-0.54%,3.39,-6000.6,227.1,"-6,848.55"
3/5/2024,-142.47,52.84,152.98,153.65,153.8,151.86,-0.42%,3.28,66.15,82.69,"1,423.34"
6/5/2024,-2135.87,44.93,153.88,152.88,154.01,152.81,0.59%,9.53,-1111.62,16.14,-272.38
7/5/2024,1276.32,62.3,154.69,153.9,154.78,153.86,0.53%,0.93,62.73,62.69,-245.68
8/5/2024,6913.58,87.2,155.48,154.7,155.69,154.56,0.51%,6.65,1347.6,145.72,"1,560.97"
9/5/2024,5860.28,90.05,155.46,155.5,155.97,155.16,-0.01%,3.84,529.6,154.42,-172.02
10/5/2024,-111,62.22,155.72,155.47,155.92,155.26,0.17%,10.67,-931.14,216.19,"2,732.85"
13/05/2024,1473.86,87.88,156.2,155.74,156.31,155.56,0.31%,7.4,179.91,30.29,"-2,060.93"
14/05/2024,1301.34,132.34,156.42,156.18,156.78,156.14,0.14%,11.74,58.57,329.97,"1,736.22"
15/05/2024,-5007.92,98.18,154.87,156.43,156.57,154.69,-0.99%,11.12,-2389.92,316.79,846.87
16/05/2024,6832.37,110.19,155.38,154.88,155.54,153.59,0.33%,1.32,7.19,53.64,-85.97
17/05/2024,-2177.41,84.91,155.65,155.39,156.01,155.25,0.17%,0.4,-28.76,44.11,"-1,944.72"
20/05/2024,2728.88,124.23,156.24,155.61,156.32,155.49,0.38%,8.06,427.7,18.08,12.15
21/05/2024,4208.78,74.81,156.15,156.26,156.56,155.84,-0.06%,0.76,45.32,4.24,-74.39
22/05/2024,-5271.12,124.14,156.77,156.17,156.85,156.11,0.40%,0.43,5.28,6.11,-8.73
23/05/2024,-655.87,116.03,156.93,156.79,157.2,156.53,0.10%,3.59,-285.65,78.48,748.37
24/05/2024,3196.08,100.43,156.99,156.94,157.16,156.82,0.04%,0.7,-14.54,162.12,-101.63
27/05/2024,-410.85,72.09,156.86,157.04,157.04,156.66,-0.08%,0.97,1.25,15.86,-261.96
28/05/2024,3363.24,88.98,157.16,156.85,157.2,156.58,0.19%,0.95,-67.43,47.57,"-1,028.72"
29/05/2024,892.74,130.52,157.6,157.14,157.79,156.92,0.28%,0.85,91.4,50.26,"-1,955.83"
30/05/2024,2174.35,110.8,156.81,157.64,157.68,156.38,-0.50%,5.71,695.86,81.6,823.08
31/05/2024,4814.95,91.35,157.31,156.82,157.39,156.56,0.32%,1.46,-285.67,16.73,29.39
3/6/2024,-18.86,65.75,156.1,157.32,157.49,155.95,-0.77%,0.57,-20.87,20.12,804.58
4/6/2024,-3041.49,78.87,154.87,156.12,156.5,154.55,-0.79%,1.27,-41.12,94.1,"2,254.45"
5/6/2024,-246.76,78.98,156.1,154.86,156.5,154.79,0.79%,1.4,-61.33,51.61,"-2,186.12"
6/6/2024,7714.4,67.84,155.6,156.1,156.45,155.36,-0.32%,1.09,-16.86,25.14,-390.5
7/6/2024,-1173.85,109.01,156.7,155.62,157.09,155.12,0.71%,3.95,-141.32,110.44,-35.36
10/6/2024,4359.67,61.63,157.02,156.74,157.2,156.7,0.20%,0.48,-8.96,3.76,44.51
11/6/2024,671.47,86.57,157.07,157.05,157.47,156.8,0.03%,0.93,-39.13,95.95,-54.15
12/6/2024,6280.14,112.47,156.71,157.07,157.45,155.72,-0.23%,4.12,-3162.44,47.31,2.7
13/06/2024,-3673.41,58.75,157.02,156.72,157.36,156.58,0.20%,3.91,-215.61,55.58,"1,144.23"
14/06/2024,1188.46,47.34,157.37,157.04,158.28,156.88,0.22%,3.78,-109.78,17.11,781.52
