Date,USOilCash_profit,USOilCash_lot,Price,Open,High,Low,Change %,USOilCash_World_lot,USOilCash_World_profit,USOilCash_China_lot,USOilCash_China_profit
2/1/2024,1851.16,120.18,70.41,71.86,73.53,69.97,-0.0202,2.88,542.91,65.11,4791.81
3/1/2024,-2506.89,144.09,72.97,70.42,73.13,69.19,0.0364,2.35,735.1,43.38,-1175.6
4/1/2024,2699.22,176.09,72.22,72.95,73.89,71,-0.0103,2.88,749.74,74.95,-48.5
5/1/2024,2474.55,207.36,73.87,72.22,74.14,72.14,0.0228,3.46,703.09,91.4,6593.65
8/1/2024,-4884.33,152.32,70.69,73.7,73.78,70.07,-0.0407,6.84,-23764.81,125.43,-22058.81
9/1/2024,-15003.32,184.04,72.11,70.67,72.86,70.42,0.0201,3.9,-934.94,83.01,6563.64
10/1/2024,-1849.49,152.53,71.2,72.11,73.5,70.95,-0.0126,5.03,-1080.17,78.8,3528.38
11/1/2024,2476.91,208.96,73.34,71.22,73.73,71.12,0.0301,6.84,1449.44,64.34,2017.74
12/1/2024,-4999.08,121.3,72.75,73.36,75.19,72.36,-0.008,3.63,-255.81,83.7,603.1
15/01/2024,-1655.19,145,72.62,72.53,72.92,71.2,0.0012,2.91,364.22,69.6,14.72
16/01/2024,139.77,167.63,71.88,72.64,73.5,71.72,-0.0102,5.7,-169.67,87.18,-1620.37
17/01/2024,4581.96,247.08,72.67,71.89,72.7,70.48,0.011,5.8,20.19,57.85,-6382.32
18/01/2024,-1947.53,135.67,73.69,72.67,74.05,72,0.014,3.73,186.2,74.76,334.18
19/01/2024,-1072.97,117.65,73.3,73.69,74.47,72.87,-0.0053,16.37,33891.78,54.8,4884.1
22/01/2024,-8563.71,141.2,74.5,73.06,75.32,72.44,0.0198,2.3,10.07,77.41,3082.81
23/01/2024,668.58,119.54,74.33,74.5,75.11,73.28,-0.0023,7.81,398.52,56.68,-813.29
24/01/2024,3969.43,132.46,75.3,74.34,75.71,73.86,0.013,4.51,-166.02,29.79,5.78
25/01/2024,2607.94,119.84,77,75.31,77.37,75.05,0.0226,4.73,-36.35,48.63,-492.85
26/01/2024,2126.69,127.13,78.05,76.99,78.13,75.95,0.0136,3.77,-656.75,49.48,2635.76
29/01/2024,-6476.46,92.89,76.92,78.78,78.81,76.33,-0.0235,3.31,832.01,51.04,-317.15
30/01/2024,591.39,125.1,77.7,76.92,78.03,75.77,0.0101,3.77,-247.08,54.99,2673.21
31/01/2024,2216.23,181.61,75.78,77.72,78,75.47,-0.0247,7.75,595.11,51.09,877.74
1/2/2024,-4736.17,187.06,74.17,75.78,76.85,73.62,-0.0212,4.29,-222.07,90.21,11086.98
2/2/2024,-1844.9,144.5,72.28,74.17,74.41,71.75,-0.0255,6.15,-684.6,75.27,-8569.47
5/2/2024,2920.6,138.42,72.6,72.7,73.2,71.34,-0.0014,3.76,-6.81,32.88,-1054.49
6/2/2024,2961.31,157.99,73.36,72.62,73.72,72.32,0.0105,3.89,-119.17,39.19,2415.15
7/2/2024,-2859.06,146.82,73.92,73.38,74.14,73.17,0.0076,5.16,-289.14,39.15,-662.17
8/2/2024,-1375.48,166.36,76.39,73.92,76.53,73.52,0.0334,2.81,-122.14,35.79,-2784.98
9/2/2024,-364.45,75.36,76.55,76.38,77.22,75.89,0.0021,4.48,-598.91,25.35,1135.4
12/2/2024,953.88,112.26,76.94,76.41,77.05,75.5,0.0072,4.24,67.96,25.19,93.5
13/02/2024,-1863.78,111.18,77.67,76.92,78.44,76.84,0.0095,8.32,-317.41,15.93,-1441.12
14/02/2024,-2928.22,108.23,76.5,77.66,78.7,76.38,-0.0151,3.51,-335.48,27.11,459.55
15/02/2024,-1003.96,72.85,77.89,76.5,78.33,75.78,0.0182,2.18,142.12,21.02,768.31
16/02/2024,3246.34,168.38,78.47,77.91,78.76,76.94,0.0074,1.73,114.91,39.51,-398.62
19/02/2024,-12413.05,126.72,78.33,78.06,78.78,77.86,-0.0018,2.84,238.19,25.96,-635.97
20/02/2024,-1965.84,203.39,77.44,78.31,78.77,77.06,-0.0114,3.37,-180.5,49.44,1160.29
21/02/2024,-2063.91,184.06,78.31,77.45,78.33,76.55,0.0112,3.56,-435.69,71.62,-105.47
22/02/2024,-1698.44,282.78,78.45,78.3,79.12,77.44,0.0018,1.99,-9.13,70.91,2359.92
23/02/2024,-6222.57,251.54,76.8,78.44,78.58,76.55,-0.021,0.81,103.57,39.2,1799.96
26/02/2024,4355.88,209.64,77.81,76.59,78.2,76.03,0.0157,2.87,236.06,29.77,1014.18
27/02/2024,3907.75,218.47,78.58,77.81,79.13,77.34,0.0099,3.23,-176.19,31.17,1188.1
