Date,XAUUSD_profit,XAUUSD_lot,Price,Open,High,Low,Change %,XAUUSD_China_profit,XAUUSD_China_lot,XAUUSD_World_profit,XAUUSD_World_lot
2/1/2024,4936.43,961.46,2058.88,2062.90,2079.02,2056.04,-0.24%,42.63,194.27,-23749.73,175.52
3/1/2024,-6685.04,1152.73,2040.78,2059.15,2066.12,2030.68,-0.88%,13036.66,233.96,-22675.15,125.61
4/1/2024,7197.93,1408.72,2043.26,2041.34,2051.40,2036.24,0.12%,1466.14,201.87,-800.51,39.39
5/1/2024,6598.81,1658.84,2045.50,2043.69,2064.03,2024.49,0.11%,12539.54,328.39,-1322.62,44.43
8/1/2024,-13024.88,1218.58,2027.84,2044.08,2046.71,2016.84,-0.86%,-66006.44,258.17,29358.43,105.80
9/1/2024,-40008.84,1472.30,2029.59,2028.40,2042.09,2026.11,0.09%,13661.82,425.87,374.61,28.61
10/1/2024,-4931.98,1220.26,2023.40,2029.94,2040.44,2020.45,-0.31%,-15081.93,315.12,-654.68,18.52
11/1/2024,6605.08,1671.66,2028.09,2023.74,2039.69,2013.32,0.23%,-27119.23,606.12,21856.17,55.07
12/1/2024,-13330.88,970.37,2048.72,2028.30,2062.35,2027.99,1.02%,13806.61,274.66,-58227.43,49.90
15/01/2024,-4413.84,1160.00,2054.49,2048.09,2059.25,2045.80,0.28%,4243.59,130.08,-34362.72,126.01
16/01/2024,372.73,1341.07,2027.59,2054.91,2055.65,2024.29,-1.31%,-7950.09,270.70,-4257.84,69.24
17/01/2024,12218.57,1976.67,2005.72,2027.90,2033.05,2001.91,-1.08%,-16412.79,639.29,49292.30,167.21
18/01/2024,-5193.40,1085.33,2022.67,2006.09,2023.45,2005.43,0.85%,3395.74,235.72,-6951.04,71.86
19/01/2024,-2861.26,941.22,2029.09,2023.05,2039.49,2020.37,0.32%,-4196.39,289.83,-1139.82,20.19
22/01/2024,-22836.56,1129.61,2020.99,2029.90,2032.28,2016.74,-0.40%,-18013.43,174.52,487.51,21.81
23/01/2024,1782.89,956.33,2028.69,2021.24,2037.92,2019.59,0.38%,4325.91,127.06,-16647.82,46.99
24/01/2024,10585.14,1059.66,2012.59,2028.94,2036.74,2011.28,-0.79%,-1621.79,217.70,-837.96,35.62
25/01/2024,6954.50,958.73,2019.75,2012.84,2025.27,2010.15,0.36%,15876.39,220.09,7169.88,63.28
26/01/2024,5671.18,1017.06,2018.34,2019.94,2026.80,2015.97,-0.07%,6325.03,147.71,-4854.67,47.81
29/01/2024,-17270.56,743.11,2031.75,2019.40,2037.75,2017.38,0.66%,7894.19,119.66,-212.48,18.84
30/01/2024,1577.04,1000.82,2036.12,2031.97,2048.48,2029.19,0.21%,-25561.64,141.60,-853.25,18.53
31/01/2024,5909.94,1452.84,2037.19,2036.58,2056.08,2031.00,0.05%,1317.77,130.44,-2080.12,36.68
1/2/2024,-12629.78,1496.47,2054.89,2037.59,2065.42,2029.55,0.87%,-15890.63,242.29,-1540.62,34.20
2/2/2024,-4919.73,1156.02,2038.59,2055.09,2058.20,2027.45,-0.79%,-2443.84,132.33,145.88,28.60
5/2/2024,7788.28,1107.38,2024.67,2039.91,2042.32,2014.40,-0.68%,-6500.51,175.15,-1277.68,31.07
